organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,collector,collection_id,hakai_id,sample_type,depth,transect_dist,collected_start,collected_end,species,quantity,length_cm,estimated_quantity,comments,quality_log
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2017-05-19,2,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_EDGE2_3,MGFSH11605,fish,,,2017-05-19T21:00:18.000Z,2017-05-19T21:04:43.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2017-05-19,2,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_EDGE2_4,MGFSH8,fish,,,2017-05-19T21:05:51.000Z,2017-05-19T21:10:06.000Z,cod/pacific,1,4,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE2,2017-05-19,2,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_EDGE2_4,MGFSH7,fish,,,2017-05-19T21:05:51.000Z,2017-05-19T21:10:06.000Z,cod/pacific,2,3,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2017-05-19,3,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_EDGE3_2,MGFSH13,fish,,,2017-05-19T20:34:23.000Z,2017-05-19T20:38:36.000Z,greenling/lingcod,1,8,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2017-05-19,3,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_EDGE3_2,MGFSH12,fish,,,2017-05-19T20:34:23.000Z,2017-05-19T20:38:36.000Z,flounder/sole_dab,1,8,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2017-05-19,3,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_EDGE3_2,MGFSH11,fish,,,2017-05-19T20:34:23.000Z,2017-05-19T20:38:36.000Z,cod/pacific,1,3,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2017-05-19,3,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_EDGE3_2,MGFSH9,fish,,,2017-05-19T20:34:23.000Z,2017-05-19T20:38:36.000Z,cod/pacific,2,5,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE3,2017-05-19,3,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_EDGE3_3,MGFSH14,fish,,,2017-05-19T21:30:02.000Z,2017-05-19T21:34:15.000Z,cod/pacific,30,3,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-05-19,1,angeleen;angeleen.olson,zach.monteith,FISH_2017-05-19_PRUTH_BAY_EDGE1_3,MGFSH15,fish,,,2017-05-19T20:45:57.000Z,2017-05-19T20:39:33.000Z,unknown,1,0,true,,1: Unknown
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-05-19,1,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_EDGE1_4,MGFSH17,fish,,,2017-05-19T20:30:46.000Z,2017-05-19T20:34:35.000Z,cod/pacific,15,3,false,,
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2017-05-19,1,angeleen;angeleen.olson,derek.vanmaanen,FISH_2017-05-19_PRUTH_BAY_EDGE1_4,MGFSH16,fish,,,2017-05-19T20:30:46.000Z,2017-05-19T20:34:35.000Z,flounder/sole_dab,1,6,false,,
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE1_2,MGFSH11617,fish,,,2017-05-19T16:47:48.000Z,2017-05-19T16:52:00.000Z,no_obs,,,,,1: No fish observed
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,gillian;gillian.sadlierbrown,ondine,FISH_2017-05-19_CHOKED_PASS_EDGE1_3,MGFSH18,fish,,,2017-05-19T16:40:18.000Z,2017-05-21T16:47:32.000Z,rockfish/cqb,1,7,false,,
HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE2,2017-05-19,2,gillian;gillian.sadlierbrown,kyle,FISH_2017-05-19_CHOKED_PASS_EDGE2_2,MGFSH22,fish,,,2017-05-19T17:22:17.000Z,2017-05-19T17:27:31.000Z,cod/pacific,2,5,false,,
