"","date","survey","site_id","n_fish_surveys","n_events","issue"
"226","2020-07-30","CHOKED_PASS","CHOKED_PASS_INTERIOR6",NA,1,"both surveys missing"
"227","2020-08-14","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE3",NA,1,"both surveys missing"
"228","2020-08-14","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR6",NA,1,"both surveys missing"
"229","2021-08-09","KOEYE_ESTUARY","KOEYE_ESTUARY_EDGE1",NA,1,"both surveys missing"
"230","2021-08-09","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4",NA,1,"both surveys missing"
"231","2016-08-01","KOEYE_ESTUARY","KOEYE_ESTUARY_INTERIOR4",1,1,"one survey missing"
"232","2016-11-13","PRUTH_BAY","PRUTH_BAY_INTERIOR4",1,1,"one survey missing"
"233","2016-11-14","CHOKED_PASS","CHOKED_PASS_EDGE2",1,1,"one survey missing"
"234","2016-11-14","CHOKED_PASS","CHOKED_PASS_EDGE3",1,1,"one survey missing"
"235","2016-11-14","CHOKED_PASS","CHOKED_PASS_INTERIOR5",1,1,"one survey missing"
"236","2016-11-14","CHOKED_PASS","CHOKED_PASS_INTERIOR6",1,1,"one survey missing"
"237","2017-06-11","CHOKED_PASS","CHOKED_PASS_EDGE1",1,1,"one survey missing"
"238","2017-06-12","CHOKED_PASS","CHOKED_PASS_EDGE1",1,1,"one survey missing"
"239","2017-08-25","CHOKED_PASS","CHOKED_PASS_EDGE1",1,1,"one survey missing"
"240","2017-08-27","TRIQUET_BAY","TRIQUET_BAY_EDGE3",1,1,"one survey missing"
"241","2017-11-18","PRUTH_BAY","PRUTH_BAY_EDGE2",1,1,"one survey missing"
"242","2017-11-18","PRUTH_BAY","PRUTH_BAY_INTERIOR5",1,1,"one survey missing"
"243","2018-02-21","CHOKED_PASS","CHOKED_PASS_EDGE3",1,1,"one survey missing"
"244","2018-02-21","CHOKED_PASS","CHOKED_PASS_EDGE7",1,1,"one survey missing"
"245","2018-06-18","CHOKED_PASS","CHOKED_PASS_INTERIOR4",1,1,"one survey missing"
"246","2018-08-17","PRUTH_BAY","PRUTH_BAY_EDGE2",1,1,"one survey missing"
"247","2019-02-12","CHOKED_PASS","CHOKED_PASS_EDGE1",1,1,"one survey missing"
"248","2019-02-12","CHOKED_PASS","CHOKED_PASS_EDGE7",1,1,"one survey missing"
"249","2019-02-12","CHOKED_PASS","CHOKED_PASS_INTERIOR4",1,1,"one survey missing"
"250","2019-02-12","PRUTH_BAY","PRUTH_BAY_EDGE2",1,1,"one survey missing"
"251","2017-05-19","CHOKED_PASS","CHOKED_PASS_INTERIOR5",3,1,"too many surveys"
